model_key,conversation_id,family,target_turn,policy_name,budget_fraction,answer_token_count,answer_avg_neg_logprob,answer_total_neg_logprob,full_answer_avg_neg_logprob,full_answer_total_neg_logprob,answer_avg_neg_logprob_delta,answer_total_neg_logprob_delta
qwen25_15b,12,msc_valid,4,uniform,0.2,15,3.783333333333333,56.75,2.35,35.25,1.4333333333333331,21.5
qwen25_15b,12,msc_valid,4,longllmlingua,0.2,15,2.5166666666666666,37.75,2.35,35.25,0.16666666666666652,2.5
qwen25_15b,12,msc_valid,4,recency,0.2,15,3.783333333333333,56.75,2.35,35.25,1.4333333333333331,21.5
qwen25_15b,12,msc_valid,4,lexical_tfidf,0.2,15,3.783333333333333,56.75,2.35,35.25,1.4333333333333331,21.5
qwen25_15b,12,msc_valid,4,recency_keep_compress_drop,0.2,15,3.783333333333333,56.75,2.35,35.25,1.4333333333333331,21.5
qwen25_15b,12,msc_valid,4,uniform,0.35,15,2.3333333333333335,35.0,2.35,35.25,-0.016666666666666607,-0.25
qwen25_15b,12,msc_valid,4,longllmlingua,0.35,15,2.9833333333333334,44.75,2.35,35.25,0.6333333333333333,9.5
qwen25_15b,12,msc_valid,4,recency,0.35,15,2.3333333333333335,35.0,2.35,35.25,-0.016666666666666607,-0.25
qwen25_15b,12,msc_valid,4,lexical_tfidf,0.35,15,2.3333333333333335,35.0,2.35,35.25,-0.016666666666666607,-0.25
qwen25_15b,12,msc_valid,4,recency_keep_compress_drop,0.35,15,2.3333333333333335,35.0,2.35,35.25,-0.016666666666666607,-0.25
qwen25_15b,12,msc_valid,4,uniform,0.5,15,2.3333333333333335,35.0,2.35,35.25,-0.016666666666666607,-0.25
qwen25_15b,12,msc_valid,4,longllmlingua,0.5,15,2.316666666666667,34.75,2.35,35.25,-0.033333333333333215,-0.5
qwen25_15b,12,msc_valid,4,recency,0.5,15,2.3333333333333335,35.0,2.35,35.25,-0.016666666666666607,-0.25
qwen25_15b,12,msc_valid,4,lexical_tfidf,0.5,15,2.3333333333333335,35.0,2.35,35.25,-0.016666666666666607,-0.25
