model_key,model_name,family,conversation_id,num_turns,num_candidate_boundaries,num_gold_boundaries,gold_boundary_density,mean_rank95,mean_curvature,mean_turning_angle,mean_rank_jump,mean_subspace_shift,mean_boundary_score,mean_boundary_prominence,boundary_tp_exact,boundary_fp_exact,boundary_fn_exact,boundary_f1_exact,boundary_tp_tol1,boundary_fp_tol1,boundary_fn_tol1,boundary_f1_tol1,boundary_tp_tol2,boundary_fp_tol2,boundary_fn_tol2,boundary_f1_tol2,boundary_tp_tol3,boundary_fp_tol3,boundary_fn_tol3,boundary_f1_tol3,boundary_nearest_distance,boundary_windowdiff,boundary_pk,boundary_auprc,mean_state_geodesic_error,mean_logit_l2,mean_kl,top1_agreement,corr_geodesic_vs_logit_l2,corr_geodesic_vs_kl,output_json,output_npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,casual_chat,casual_seattle_trip,6,4,1,0.25,1.0,1.9423375129699707,2.8582351207733154,6.112015398684889e-05,0.6148442625999451,2.481520891189575,0.16703367233276367,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.6666666666666666,0.75,0.25,0.13821491599082947,159.2315216064453,2.1286439732648432e-05,1.0,0.9882143028343346,0.26047594066678353,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/casual_chat_casual_seattle_trip_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/casual_chat_casual_seattle_trip_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,casual_chat,casual_roommate_dinner,6,4,1,0.25,1.0,1.965012550354004,2.8408052921295166,6.704687257297337e-05,0.6328232288360596,2.4248223304748535,0.17479240894317627,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.6666666666666666,0.75,0.25,0.1530614048242569,178.8407745361328,3.186732647009194e-05,1.0,0.9905907906623683,0.2620521118558327,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/casual_chat_casual_roommate_dinner_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/casual_chat_casual_roommate_dinner_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,casual_chat,casual_gym_schedule,6,4,1,0.25,1.0,1.9023237228393555,2.862517833709717,5.925402729189955e-05,0.44326329231262207,2.562220573425293,0.1412152647972107,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.6666666666666666,0.75,0.25,0.13101769983768463,158.94224548339844,2.252107697131578e-05,1.0,0.9764581463277103,0.24973234893850532,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/casual_chat_casual_gym_schedule_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/casual_chat_casual_gym_schedule_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,multi_topic_chat,multi_topic_city_day,6,4,1,0.25,1.0,1.8981070518493652,2.8425488471984863,7.113722676876932e-05,0.6410662531852722,2.503960609436035,0.10347282886505127,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.6666666666666666,0.75,0.3333333333333333,0.14768987894058228,174.49476623535156,2.3778438844601624e-05,1.0,0.9839845333101012,0.16035449195317825,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/multi_topic_chat_multi_topic_city_day_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/multi_topic_chat_multi_topic_city_day_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,multi_topic_chat,multi_topic_office_then_gift,6,4,1,0.25,1.0,2.0360705852508545,2.8606574535369873,6.161066266940907e-05,0.6157047748565674,2.4934515953063965,0.15756171941757202,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.6666666666666666,0.75,0.25,0.1532827466726303,182.7975311279297,3.257250864407979e-05,1.0,0.9907575889291944,0.28077457798052685,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/multi_topic_chat_multi_topic_office_then_gift_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/multi_topic_chat_multi_topic_office_then_gift_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,multi_topic_chat,multi_topic_trip_then_email,6,4,1,0.25,1.0,1.9642773866653442,2.814910888671875,5.7501143601257354e-05,0.672930896282196,2.518801689147949,0.13389700651168823,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.25,1.0,0.1005752682685852,117.83917236328125,2.9310298486961983e-05,1.0,0.9986430890491463,0.23791028272298426,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/multi_topic_chat_multi_topic_trip_then_email_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/multi_topic_chat_multi_topic_trip_then_email_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,retrieval_heavy,retrieval_travel_plan,6,4,0,0.0,1.0,2.0005619525909424,2.817298650741577,2.5271225240430795e-05,0.6724834442138672,2.4628968238830566,0.2544640898704529,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.17570115625858307,214.4412078857422,4.8838202928891405e-05,1.0,0.9813198613620022,0.24960258608260205,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/retrieval_heavy_retrieval_travel_plan_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/retrieval_heavy_retrieval_travel_plan_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,retrieval_heavy,retrieval_project_notes,6,4,0,0.0,1.0,1.9467939138412476,2.8149030208587646,3.1051982659846544e-05,0.6821255087852478,2.438767910003662,0.24524492025375366,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.17045380175113678,207.1993408203125,3.635396569734439e-05,1.0,0.9468257068988246,0.2383984450439827,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/retrieval_heavy_retrieval_project_notes_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/retrieval_heavy_retrieval_project_notes_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,retrieval_heavy,retrieval_med_schedule,6,4,0,0.0,1.0,2.0424301624298096,2.840468168258667,1.3900526937504765e-05,0.6276484727859497,2.346254825592041,0.18576455116271973,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.1704612523317337,210.13169860839844,5.987787153571844e-05,1.0,0.9801143936798702,0.3066867569818877,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/retrieval_heavy_retrieval_med_schedule_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/retrieval_heavy_retrieval_med_schedule_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,reasoning_chat,reasoning_subscription_break_even,6,4,0,0.0,1.0,1.9773523807525635,2.8613924980163574,6.0213558754185215e-05,0.6084463596343994,2.29787540435791,0.2084164023399353,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.14196962118148804,185.5404815673828,2.856040191545617e-05,1.0,0.994671947244871,0.22068979288243712,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/reasoning_chat_reasoning_subscription_break_even_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/reasoning_chat_reasoning_subscription_break_even_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,reasoning_chat,reasoning_shipping_costs,6,4,0,0.0,1.0,1.9903435707092285,2.87359881401062,6.146611121948808e-05,0.59242844581604,2.4132144451141357,0.15932083129882812,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.14379863440990448,175.78123474121094,3.624661985668354e-05,1.0,0.9989738722193763,0.30700743469419794,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/reasoning_chat_reasoning_shipping_costs_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/reasoning_chat_reasoning_shipping_costs_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,reasoning_chat,reasoning_shift_coverage,6,4,0,0.0,1.0,1.9639735221862793,2.9050416946411133,4.417606760398485e-05,0.36516427993774414,2.536325454711914,0.11226141452789307,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.11498695611953735,136.1334228515625,1.344130578218028e-05,1.0,0.9987884923632269,0.26304988473011337,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/reasoning_chat_reasoning_shift_coverage_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/reasoning_chat_reasoning_shift_coverage_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,code_conversation,code_python_sort_none,6,4,0,0.0,1.0,2.0600295066833496,2.8244447708129883,1.7181884686578996e-05,0.6519238948822021,2.3112707138061523,0.13390383124351501,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.17577028274536133,206.99440002441406,5.118706394569017e-05,1.0,0.9912726382673048,0.26048882523794065,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/code_conversation_code_python_sort_none_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/code_conversation_code_python_sort_none_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,code_conversation,code_js_array_map,6,4,0,0.0,1.5,1.9621777534484863,2.7740674018859863,2.6013625756604597e-05,0.7082735300064087,2.285797595977783,0.19254371523857117,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.08850912004709244,104.19476318359375,4.4073062781535555e-06,1.0,0.9994569952653354,0.07897425050855478,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/code_conversation_code_js_array_map_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/code_conversation_code_js_array_map_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,code_conversation,code_sql_left_join,6,4,0,0.0,1.3333333333333333,2.0572266578674316,2.803166151046753,1.4512359484797344e-05,0.6846985816955566,2.394868850708008,0.11271500587463379,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0548800490796566,64.66537475585938,3.071814717259258e-06,1.0,0.999983308310267,0.2496300708102707,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/code_conversation_code_sql_left_join_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/code_conversation_code_sql_left_join_Qwen2.5-0.5B-Instruct.npz
qwen25_05b,Qwen/Qwen2.5-0.5B-Instruct,long_dependency,dependency_bullet_format,6,4,2,0.5,1.0,2.1719486713409424,2.8894879817962646,3.371634011273272e-05,0.3809942603111267,2.6267383098602295,0.13440978527069092,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.2,0.75,0.11864330619573593,136.0635223388672,9.04158969206037e-06,1.0,0.9994759898442014,0.2766031986224894,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/long_dependency_dependency_bullet_format_Qwen2.5-0.5B-Instruct.json,/Users/pranav/Documents/RT/results/paper1/studies/expanded_v8_final/qwen25_05b/long_dependency_dependency_bullet_format_Qwen2.5-0.5B-Instruct.npz
