conversation_id,family,segment_index,start_turn,end_turn,start_role,end_role,segment_turn_count,raw_mean_curvature,raw_std_curvature,raw_max_curvature,mean_curvature,std_curvature,skew_curvature,max_curvature,mean_turning_angle,mean_step_norm,std_step_norm,max_step_norm,rank95,mean_rank_jump,mean_subspace_shift,mean_boundary_score,role_switch_rate,switch_step_norm,segment_turn_count,regime_id,regime_name,example_excerpt
msc-00000,msc_valid,0,0,1,user,assistant,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.569744348526001,0.0,1.569744348526001,1,0.0,0.0,0.0,1.0,1.569744348526001,2,1,curvature_spike_transition,"user: Hello what are doing today? || assistant: I am good, I just got off work and tired, I have two jobs."
msc-00000,msc_valid,1,1,3,assistant,assistant,3,1.8102936744689941,0.045216262340545654,1.855509877204895,1.8102936744689941,0.045216262340545654,0.0,1.855509877204895,2.8331141471862793,1.563145399093628,0.0006492137908935547,1.5637946128845215,1,6.471203960245475e-05,0.4731447398662567,4.433836936950684,1.0,1.563145399093628,3,3,curvature_spike_transition,"assistant: I am good, I just got off work and tired, I have two jobs. || user: I just got done watching a horror movie || assistant: I rather read, I've read about 20 books this year."
msc-00000,msc_valid,2,3,5,assistant,assistant,3,1.8694853782653809,0.034948647022247314,1.9044339656829834,1.8694853782653809,0.034948647022247314,0.0,1.9044339656829834,2.921285629272461,1.5625786781311035,0.00022488833928946406,1.5628036260604858,1,3.3530981454532593e-05,0.35180753469467163,4.564845085144043,1.0,1.5625786781311035,3,3,curvature_spike_transition,"assistant: I rather read, I've read about 20 books this year. || user: Wow! I do love a good horror movie. Loving this cooler weather || assistant: But a good movie is always good."
msc-00000,msc_valid,3,5,7,assistant,assistant,3,1.8869521617889404,0.016695499420166016,1.9036476612091064,1.8869521617889404,0.016695499420166016,0.0,1.9036476612091064,2.920522689819336,1.5347809791564941,0.023832261562347412,1.5586133003234863,1,3.162133725709282e-05,0.3422388434410095,4.520538806915283,1.0,1.5347809791564941,3,3,curvature_spike_transition,assistant: But a good movie is always good. || user: Yes! My son is in junior high and I just started letting him watch them too || assistant: I work in the movies as well.
msc-00000,msc_valid,4,7,9,assistant,assistant,3,1.903310775756836,0.05297642946243286,1.9562872648239136,1.903310775756836,0.05297642946243286,0.0,1.9562872648239136,2.888723134994507,1.513426661491394,0.019248247146606445,1.5326749086380005,1,4.3819301936309785e-05,0.4111884832382202,4.38435173034668,1.0,1.513426661491394,3,3,curvature_spike_transition,"assistant: I work in the movies as well. || user: Neat!! I used to work in the human services field || assistant: Yes it is neat, I stunt double, it is so much fun and hard work."
msc-00000,msc_valid,5,9,11,assistant,assistant,3,1.992954969406128,0.024438321590423584,2.0173933506011963,1.992954969406128,0.024438321590423584,0.0,2.0173933506011963,2.879056930541992,1.4065868854522705,0.06268680095672607,1.4692736864089966,1,4.3737090891227126e-05,0.40659022331237793,4.161947727203369,1.0,1.4065868854522705,3,3,curvature_spike_transition,"assistant: Yes it is neat, I stunt double, it is so much fun and hard work. || user: Yes I bet you can get hurt. My wife works and I stay at home || assistant: Nice, I only have one parent so now I help out my mom."
msc-00000,msc_valid,6,11,17,assistant,assistant,7,2.225158452987671,0.0374479703605175,2.2707386016845703,2.225158452987671,0.0374479703605175,-0.06494367122650146,2.2707386016845703,2.9126968383789062,1.3096661567687988,0.02602568455040455,1.3502349853515625,1,2.445689642627258e-05,0.34652116894721985,3.8133127689361572,1.0,1.3096661567687988,7,3,curvature_spike_transition,"assistant: Nice, I only have one parent so now I help out my mom. || user: I bet she appreciates that very much. || user: I've heard they're making a new Stephen King adaptation - I bet I end up going to see it! || assistant: Yeah, I am trying to get in on that one! I want to be in one of his movies because they are bomb!"
msc-00000,msc_valid,7,17,19,assistant,assistant,3,2.097273826599121,0.08823513984680176,2.185508966445923,2.097273826599121,0.08823513984680176,0.0,2.185508966445923,2.888242244720459,1.3888821601867676,0.006421208381652832,1.3953033685684204,1,3.899213334079832e-05,0.4117022156715393,3.9777822494506836,1.0,1.3888821601867676,3,3,curvature_spike_transition,"assistant: Yeah, I am trying to get in on that one! I want to be in one of his movies because they are bomb! || user: So cool. Where I live they filmed the Shawshank Redemption.  I know some people who were doubles in it. I love horror bu || assistant: Oh yeah. I read this one book called The Butterfly Garden by Dot Huchinson. It was very dark and disturbing, but it was "
msc-00000,msc_valid,8,19,21,assistant,assistant,3,2.1035637855529785,0.08483326435089111,2.188397169113159,2.1035637855529785,0.08483326435089111,0.0,2.188397169113159,2.8582205772399902,1.3286077976226807,0.04920506477355957,1.3778128623962402,1,4.981948222848587e-05,0.818172037601471,3.8853747844696045,1.0,1.3286077976226807,3,3,curvature_spike_transition,"assistant: Oh yeah. I read this one book called The Butterfly Garden by Dot Huchinson. It was very dark and disturbing, but it was  || user: Wow. That sounds like something I would really love. I just finished a book myself this morning about a serial killer. D || assistant: I have kindle unlimited and the libby app, but I believe that particular one was on Kindle Unlimited. It was about teena"
msc-00000,msc_valid,9,21,24,assistant,user,4,2.270585298538208,0.07289052754640579,2.3578925132751465,2.270585298538208,0.07289052754640579,-0.07822665572166443,2.3578925132751465,2.8977739810943604,1.276917815208435,0.02661168947815895,1.3062928915023804,1,3.706524512381293e-05,0.4207129180431366,3.698652505874634,1.0,1.276917815208435,4,3,curvature_spike_transition,"assistant: I have kindle unlimited and the libby app, but I believe that particular one was on Kindle Unlimited. It was about teena || user: I have never heard of the Libby app. I'll have to check that out. I use Kindle because I have Amazon Prime and there are || assistant: Billy Straight is about a runaway kid that goes to hollywood and pretends to be in school but lives in a park. He witnes || user: Oh ok. I have used other type of apps where it syncs up with the library number to check books out. I really love that o"
