model_key,conversation_id,family,target_turn,policy_name,budget_fraction,answer_token_count,answer_avg_neg_logprob,answer_total_neg_logprob,full_answer_avg_neg_logprob,full_answer_total_neg_logprob,answer_avg_neg_logprob_delta,answer_total_neg_logprob_delta
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,uniform,0.2,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,semantic,0.2,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,geometry,0.2,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,geometry_keep_compress_drop,0.2,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,semantic_query_conditioned_geometry_keep_compress_drop,0.2,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,uniform,0.35,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,semantic,0.35,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,geometry,0.35,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,geometry_keep_compress_drop,0.35,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,semantic_query_conditioned_geometry_keep_compress_drop,0.35,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,uniform,0.5,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,semantic,0.5,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
qwen25_15b,gpt4_fa19884d,longmemeval_s_full,4,geometry,0.5,232,1.3879310344827587,322.0,1.3793103448275863,320.0,0.008620689655172376,2.0
