model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.2,0.40298507462686567,0.5,"2,3",151,92,0.609271523178808,186.42062377929688,1.6038968169596046e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,longllmlingua,0.2,0.2,nan,"2,3",151,110,0.7284768211920529,231.0535888671875,2.4711538571864367e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,recency,0.2,0.40298507462686567,0.5,"2,3",151,92,0.609271523178808,186.42062377929688,1.6038968169596046e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,lexical_tfidf,0.2,0.40298507462686567,0.5,"2,3",151,92,0.609271523178808,186.42062377929688,1.6038968169596046e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,recency_keep_compress_drop,0.2,0.40298507462686567,0.5,"2,3",151,92,0.609271523178808,186.42062377929688,1.6038968169596046e-05,1.0,0,0,1,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.35,0.5895522388059702,0.75,"1,2,3",151,117,0.7748344370860927,166.54571533203125,1.55950547195971e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,longllmlingua,0.35,0.35,nan,"2,3",151,117,0.7748344370860927,247.96356201171875,3.1135416065808386e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,recency,0.35,0.5895522388059702,0.75,"1,2,3",151,117,0.7748344370860927,166.54571533203125,1.55950547195971e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,lexical_tfidf,0.35,0.5895522388059702,0.75,"1,2,3",151,117,0.7748344370860927,166.54571533203125,1.55950547195971e-05,1.0,0,0,0,
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,recency_keep_compress_drop,0.35,0.5895522388059702,0.75,"1,2,3",151,117,0.7748344370860927,166.54571533203125,1.55950547195971e-05,1.0,0,1,0,
