conversation_id,topic,original_turn,update_turn,query_turn,directional_alignment,entry_alignment,original_entry_update_exit_alignment,original_exit_update_entry_alignment,state_update_entry_cross,sampled_control_turn,sampled_control_entry_cross,mean_control_entry_cross,min_control_entry_cross,num_control_candidates,update_more_negative_than_mean_control,update_more_negative_than_all_controls,original_exit_norm,update_exit_norm,original_entry_norm,update_entry_norm,pair_semantic_similarity,query_to_original_semantic_similarity,query_to_update_semantic_similarity,query_similarity_gap,contextual_state_similarity,alignment_lt_threshold,semantic_gt_threshold,joint_success,original_text,update_text,query_text,expected_current_answer
state-update-001-employment,employment,2,8,10,0.853277473424506,0.9578746389225921,-0.9008062706344023,-0.9299722878162466,0.9782312329227524,6,0.9871498361036555,0.9825749574183499,0.9780000787330443,2,True,False,1.5429052114486694,1.3643803596496582,1.5557917356491089,1.4041162729263306,0.9944798946380615,0.9911917448043823,0.9899895191192627,-0.001202225685119629,0.9884709729586872,False,True,False,One big change is that I just started working at Google as a software engineer.,"Actually, plans changed fast. I left Google last week and now I work at Meta on AR tools.",Quick check: where do I work now?,Meta on AR tools
state-update-002-city,city,2,8,10,0.8863249001712167,0.9568376169943736,-0.9190327702943736,-0.9341590920622216,0.9808770365652059,6,0.9836874305243265,0.9801904763120339,0.9766935220997413,2,False,False,1.5134623050689697,1.3778092861175537,1.5595322847366333,1.43442964553833,0.9934176206588745,0.9905019402503967,0.9896875023841858,-0.0008144378662109375,0.9886372089385986,False,True,False,At first I moved to Seattle for the new apartment near Green Lake.,"Small correction though: the Seattle plan fell through, so I moved to Austin instead.",Which city do I live in now?,Austin
state-update-003-codename,codename,2,8,10,0.936893248397297,0.921139655325886,-0.9223456894151829,-0.9204564240771218,0.9712025979360007,4,0.9786203311354172,0.9724648245625084,0.9663093179895995,2,True,False,1.4764970541000366,1.479193091392517,1.5111427307128906,1.3435254096984863,0.9965404272079468,0.9888439178466797,0.9829427599906921,-0.005901157855987549,0.9899953001734794,False,True,False,Earlier today the internal codename for the launch was Atlas.,"Update from leadership: Atlas was dropped, and the current codename is Beacon.",What is the current codename?,Beacon
state-update-004-team-lead,team_lead,2,8,10,0.9304526084535475,0.9098370257992648,-0.9052404678485605,-0.9387539825381157,0.9518057293791444,6,0.9801077101912019,0.9774797515248475,0.974851792858493,2,True,True,1.3842734098434448,1.4593017101287842,1.478593349456787,1.3440967798233032,0.9922502040863037,0.9910643696784973,0.9892931580543518,-0.0017712116241455078,0.9821028709411621,False,True,False,"At the start of the week, my team lead was Jules.","Leadership changed today, so Mina is my team lead now instead of Jules.",Who is my team lead now?,Mina
state-update-005-phone,phone,2,8,10,0.9233228373205117,0.9545939609548963,-0.9413917311124331,-0.9531645644098115,0.9734568707033545,6,0.979129593380194,0.9801664723677175,0.979129593380194,2,True,True,1.4837170839309692,1.537341833114624,1.5641868114471436,1.4474732875823975,0.9943393468856812,0.9896968007087708,0.9880711436271667,-0.001625657081604004,0.9835520376892112,False,True,False,For a while my main phone was an iPhone 15.,"Then I changed my mind and switched over. My main phone is a Pixel 9 now, not the iPhone 15.",What is my main phone now?,Pixel 9
state-update-006-diet,diet,2,8,10,0.9228583437808533,0.9507697547293945,-0.9349889296254226,-0.946668478737204,0.9740727021985215,6,0.9803570076449153,0.9775055186096778,0.9746540295744404,2,True,True,1.435309648513794,1.3942465782165527,1.5543330907821655,1.3664695024490356,0.9927212595939636,0.9884549379348755,0.9839377999305725,-0.0045171380043029785,0.983915388584137,False,True,False,Until recently I was following a vegetarian diet.,"I updated my plan though. I am pescatarian now, so I am no longer vegetarian.",What diet am I following now?,pescatarian
state-update-007-apartment,apartment,2,8,10,0.9164096927914651,0.9443769295084928,-0.9147672090698081,-0.9178827244209714,0.9664181452873319,6,0.9637670753356983,0.9695496272023773,0.9637670753356983,2,True,False,1.4475103616714478,1.4836571216583252,1.504704236984253,1.4199868440628052,0.9942679401795829,0.9884821169663738,0.9921239614486694,0.003641844482295653,0.9814845323562622,False,True,False,"Before the move, I was in apartment 5A.","The paperwork is done now, and I live in apartment 9C instead of 5A.",Which apartment do I live in now?,9C
state-update-008-workout,workout_time,2,8,10,0.9316675495521176,0.916828362300393,-0.9081259041477638,-0.9461999515027378,0.9673174399352252,6,0.9778180905177536,0.9798287474007291,0.9778180905177536,2,True,True,1.43654465675354,1.4101793766021729,1.5396571159362793,1.359977126121521,0.994574785232544,0.9891026616096497,0.9866999387741089,-0.0024027228355407715,0.9854028224945068,False,True,False,Originally I was doing my workouts in the evenings after work.,"I changed the plan, and now I work out in the mornings instead of the evenings.",When do I work out now?,mornings
state-update-009-gate,flight_gate,2,8,10,0.886601699875599,0.951744327471782,-0.9329399922753384,-0.9014989430514835,0.9736538690949817,6,0.9846944545110096,0.9802636984874593,0.9758329424639092,2,True,True,1.4782570600509644,1.4838225841522217,1.5251097679138184,1.384939432144165,0.9953728914260864,0.988441526889801,0.991793155670166,0.0033516287803649902,0.9885525703430176,False,True,False,"When I first checked the board, my flight was leaving from gate B12.",And it did change. The airline moved my flight from B12 to C7.,What gate is my flight leaving from now?,C7
state-update-010-manager,manager,2,8,10,0.9406316539510543,0.9307400686891946,-0.9120016992120528,-0.9577676958890122,0.970127929437025,4,0.9791926018463583,0.9796296515875826,0.9791926018463583,2,True,True,1.3967244625091553,1.4325979948043823,1.4934169054031372,1.3994380235671997,0.9940433502197266,0.9875109195709229,0.9886433482170105,0.0011324286460876465,0.9850125908851624,False,True,False,"Before the reorg, my manager was Priya.","But the reorg closed today, and my manager is Daniel now instead of Priya.",Who is my manager now?,Daniel
