model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
qwen25_15b,stress_code_python_function,code_conversation,4,uniform,0.2,0.358974358974359,0.5,"2,3",128,70,0.546875,164.35629272460938,1.2531587344710715e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,longllmlingua,0.2,0.2,nan,"2,3",128,89,0.6953125,196.09249877929688,1.7461716197431087e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,recency,0.2,0.358974358974359,0.5,"2,3",128,70,0.546875,164.35629272460938,1.2531587344710715e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,lexical_tfidf,0.2,0.358974358974359,0.5,"2,3",128,70,0.546875,164.35629272460938,1.2531587344710715e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,recency_keep_compress_drop,0.2,0.358974358974359,0.5,"2,3",128,70,0.546875,164.35629272460938,1.2531587344710715e-05,1.0,0,0,1,
qwen25_15b,stress_code_python_function,code_conversation,4,uniform,0.35,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,longllmlingua,0.35,0.35,nan,"2,3",128,96,0.75,193.59373474121094,1.964734838111326e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,recency,0.35,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,lexical_tfidf,0.35,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,recency_keep_compress_drop,0.35,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,1,0,
qwen25_15b,stress_code_python_function,code_conversation,4,uniform,0.5,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,longllmlingua,0.5,0.5,nan,"2,3",128,102,0.796875,199.6281280517578,1.655277083045803e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,recency,0.5,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,lexical_tfidf,0.5,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,0,0,
qwen25_15b,stress_code_python_function,code_conversation,4,recency_keep_compress_drop,0.5,0.5470085470085471,0.75,"1,2,3",128,92,0.71875,170.67774963378906,1.1471465768408962e-05,1.0,0,1,0,
