model_key,conversation_id,family,target_turn,policy_name,budget_fraction,answer_token_count,answer_avg_neg_logprob,answer_total_neg_logprob,full_answer_avg_neg_logprob,full_answer_total_neg_logprob,answer_avg_neg_logprob_delta,answer_total_neg_logprob_delta
qwen25_15b,stress_longdep_csv_items,long_dependency,4,uniform,0.2,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,longllmlingua,0.2,10,0.2578125,2.578125,0.056640625,0.56640625,0.201171875,2.01171875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,recency,0.2,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,lexical_tfidf,0.2,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,recency_keep_compress_drop,0.2,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,uniform,0.35,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,longllmlingua,0.35,10,0.15859375,1.5859375,0.056640625,0.56640625,0.101953125,1.01953125
qwen25_15b,stress_longdep_csv_items,long_dependency,4,recency,0.35,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,lexical_tfidf,0.35,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,recency_keep_compress_drop,0.35,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,uniform,0.5,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,longllmlingua,0.5,10,0.12890625,1.2890625,0.056640625,0.56640625,0.072265625,0.72265625
qwen25_15b,stress_longdep_csv_items,long_dependency,4,recency,0.5,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,lexical_tfidf,0.5,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,4,recency_keep_compress_drop,0.5,10,0.1734375,1.734375,0.056640625,0.56640625,0.116796875,1.16796875
qwen25_15b,stress_longdep_csv_items,long_dependency,6,uniform,0.2,9,1.5972222222222223,14.375,0.034505208333333336,0.310546875,1.562717013888889,14.064453125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,longllmlingua,0.2,9,0.8611111111111112,7.75,0.034505208333333336,0.310546875,0.8266059027777778,7.439453125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,recency,0.2,9,2.0555555555555554,18.5,0.034505208333333336,0.310546875,2.021050347222222,18.189453125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,lexical_tfidf,0.2,9,1.5972222222222223,14.375,0.034505208333333336,0.310546875,1.562717013888889,14.064453125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,recency_keep_compress_drop,0.2,9,2.0555555555555554,18.5,0.034505208333333336,0.310546875,2.021050347222222,18.189453125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,uniform,0.35,9,1.5486111111111112,13.9375,0.034505208333333336,0.310546875,1.514105902777778,13.626953125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,longllmlingua,0.35,9,0.0390625,0.3515625,0.034505208333333336,0.310546875,0.004557291666666664,0.041015625
qwen25_15b,stress_longdep_csv_items,long_dependency,6,recency,0.35,9,1.5486111111111112,13.9375,0.034505208333333336,0.310546875,1.514105902777778,13.626953125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,lexical_tfidf,0.35,9,1.5486111111111112,13.9375,0.034505208333333336,0.310546875,1.514105902777778,13.626953125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,recency_keep_compress_drop,0.35,9,1.5486111111111112,13.9375,0.034505208333333336,0.310546875,1.514105902777778,13.626953125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,uniform,0.5,9,2.7222222222222223,24.5,0.034505208333333336,0.310546875,2.687717013888889,24.189453125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,longllmlingua,0.5,9,0.09765625,0.87890625,0.034505208333333336,0.310546875,0.06315104166666666,0.568359375
qwen25_15b,stress_longdep_csv_items,long_dependency,6,recency,0.5,9,1.5486111111111112,13.9375,0.034505208333333336,0.310546875,1.514105902777778,13.626953125
qwen25_15b,stress_longdep_csv_items,long_dependency,6,lexical_tfidf,0.5,9,0.027994791666666668,0.251953125,0.034505208333333336,0.310546875,-0.006510416666666668,-0.05859375
qwen25_15b,stress_longdep_csv_items,long_dependency,6,recency_keep_compress_drop,0.5,9,1.5486111111111112,13.9375,0.034505208333333336,0.310546875,1.514105902777778,13.626953125
