model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
qwen25_15b,30,msc_valid,4,uniform,0.2,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,longllmlingua,0.2,0.2,nan,"2,3",97,59,0.6082474226804123,397.73388671875,0.00015249039279296994,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,recency,0.2,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,lexical_tfidf,0.2,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,recency_keep_compress_drop,0.2,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,1,
qwen25_15b,30,msc_valid,4,uniform,0.35,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,longllmlingua,0.35,0.35,nan,"2,3",97,62,0.6391752577319587,394.9237976074219,0.00014054944040253758,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,recency,0.35,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,lexical_tfidf,0.35,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,recency_keep_compress_drop,0.35,0.39285714285714285,0.5,"2,3",97,67,0.6907216494845361,192.8662567138672,4.964524123352021e-05,1.0,0,0,1,
qwen25_15b,30,msc_valid,4,uniform,0.5,0.6190476190476191,0.75,"1,2,3",97,86,0.8865979381443299,223.33753967285156,4.84193951706402e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,longllmlingua,0.5,0.5,nan,"2,3",97,67,0.6907216494845361,351.5309753417969,0.00011925073340535164,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,recency,0.5,0.6190476190476191,0.75,"1,2,3",97,86,0.8865979381443299,223.33753967285156,4.84193951706402e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,lexical_tfidf,0.5,0.6190476190476191,0.75,"1,2,3",97,86,0.8865979381443299,223.33753967285156,4.84193951706402e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,4,recency_keep_compress_drop,0.5,0.6190476190476191,0.75,"1,2,3",97,86,0.8865979381443299,223.33753967285156,4.84193951706402e-05,1.0,0,1,0,
qwen25_15b,30,msc_valid,6,uniform,0.2,0.464,0.5,"2,4,5",137,91,0.6642335766423357,290.4412841796875,9.721744572743773e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,6,longllmlingua,0.2,0.2,nan,"4,5",137,71,0.5182481751824818,394.4151611328125,0.00014361469948198646,1.0,0,0,0,
qwen25_15b,30,msc_valid,6,recency,0.2,0.456,0.5,"3,4,5",137,90,0.656934306569343,177.2664794921875,3.197166370227933e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,6,lexical_tfidf,0.2,0.464,0.5,"2,4,5",137,91,0.6642335766423357,290.4412841796875,9.721744572743773e-05,1.0,0,0,0,
qwen25_15b,30,msc_valid,6,recency_keep_compress_drop,0.2,0.456,0.5,"3,4,5",137,90,0.656934306569343,177.2664794921875,3.197166370227933e-05,1.0,0,1,1,
qwen25_15b,30,msc_valid,6,uniform,0.35,0.48,0.5,"1,4,5",137,93,0.6788321167883211,214.11927795410156,5.665314893121831e-05,1.0,0,0,0,
